,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
246,元茶畑,2,0,0,1,1,2,1,3,2,1,1,0,0,1,1,0,0,1,1,0,0,3,5,8,4,5,5,5,5,3,4,4,2,3,3,1,1,4,2,2,3,4,1,0,3,0,2,1,3,0,2,2,2,2,0,1,1,1,1,1,1,2,1,4,2,1,0,2,2,1,5,1,0,0,1,0,1,0,0,0,0,1,2,1,1,1,4,1,2,1,2,2,0,0,0,1,0,0,0,0,0
247,大和町１丁目,4,15,9,9,6,2,8,5,2,4,3,5,5,5,7,5,2,13,2,9,6,12,3,12,9,10,13,11,15,15,10,14,21,10,9,18,17,13,13,12,7,20,8,9,7,16,11,19,10,10,15,7,18,6,13,7,13,7,11,10,12,9,11,8,8,16,8,8,8,11,8,6,11,6,3,4,5,3,5,4,7,9,4,6,6,3,6,7,8,3,7,5,4,3,2,1,0,0,0,1,1
248,大和町２丁目,5,5,6,6,9,1,3,3,12,4,8,7,9,4,3,7,5,8,4,8,5,8,8,7,10,13,10,11,10,8,13,14,11,12,12,14,12,10,7,10,15,13,10,10,14,11,10,12,7,12,10,18,9,7,8,11,14,6,5,10,9,12,5,11,7,9,3,5,6,7,5,4,9,5,7,5,5,9,8,8,5,6,3,4,4,7,5,4,5,2,1,1,2,1,0,3,1,1,1,0,0
249,大和町３丁目,5,5,6,4,2,5,4,2,4,4,4,6,1,7,7,1,3,2,4,5,5,4,5,6,6,6,8,6,3,4,12,9,6,7,9,8,8,1,7,8,8,13,9,4,8,6,6,6,7,4,12,6,4,7,5,3,3,4,1,0,3,4,6,1,3,3,3,8,4,5,4,4,4,4,2,3,4,2,2,4,3,6,7,2,4,5,2,1,1,3,2,2,1,2,2,0,1,0,0,0,0
250,大和町４丁目,2,13,4,9,9,5,8,8,5,11,5,12,5,5,11,6,7,12,6,10,14,17,14,12,11,13,16,14,15,14,10,21,11,13,9,17,16,11,18,8,11,18,16,14,25,19,23,25,24,18,25,16,22,21,21,20,30,13,15,16,14,16,18,20,16,14,16,11,13,13,14,15,11,6,9,7,12,2,11,6,12,4,4,5,6,4,3,4,0,4,0,1,4,0,1,0,0,0,1,0,0
251,大和町５丁目,8,17,17,16,15,10,8,16,12,17,12,18,11,15,20,12,14,25,22,17,21,16,36,31,31,33,25,23,23,23,28,24,28,29,26,34,31,26,23,38,36,27,33,26,39,30,40,44,33,38,43,38,40,31,38,38,39,30,21,29,33,23,30,24,32,28,26,25,41,32,31,36,27,31,16,21,17,19,17,12,15,12,21,15,8,16,14,5,8,7,4,7,1,4,3,0,1,2,0,2,3
252,弓ノ町,1,2,0,2,1,4,5,0,2,1,2,1,0,0,2,1,1,0,2,2,2,3,1,3,4,0,4,4,4,1,2,6,3,3,2,3,2,1,2,3,2,4,1,5,0,4,4,3,2,3,2,3,0,1,4,1,0,1,2,2,1,4,4,1,4,0,3,2,4,3,4,1,4,4,3,0,2,0,0,1,1,1,1,2,0,2,2,3,1,2,2,1,0,0,0,0,0,0,0,0,0
253,連坊１丁目,3,3,3,2,2,4,3,5,4,7,6,5,8,4,1,11,7,5,5,5,8,6,7,14,10,8,8,12,11,8,5,6,8,10,9,6,6,8,8,9,12,9,4,18,10,12,7,12,14,10,8,8,11,6,7,11,16,5,4,4,5,3,5,2,3,3,7,2,3,5,6,5,6,1,2,5,1,3,5,7,1,3,0,3,1,2,5,2,4,0,3,1,1,0,0,0,1,0,1,0,1
254,連坊２丁目,4,1,1,0,1,2,1,1,4,2,2,2,2,1,2,3,2,0,2,5,7,12,10,10,11,15,5,6,14,9,7,5,5,6,6,3,10,9,6,8,8,3,6,9,2,7,7,7,5,4,6,6,1,2,5,2,6,4,3,3,1,5,3,5,7,12,3,1,5,5,4,7,4,0,3,3,8,5,3,6,3,1,3,3,6,2,1,5,1,0,2,0,3,1,3,2,0,2,0,0,1
255,連坊小路,3,4,3,0,7,4,6,1,8,9,8,5,7,2,2,4,3,6,8,7,7,8,7,9,11,12,17,19,20,10,15,10,9,14,13,9,5,9,14,15,20,12,20,16,8,17,15,9,14,14,9,15,11,10,8,7,10,7,5,3,6,6,5,4,6,3,3,7,7,8,3,5,8,0,2,4,6,3,4,2,3,6,6,4,4,3,3,2,1,0,3,0,1,2,0,2,0,0,0,0,0
256,六郷,2,4,5,7,4,6,6,0,9,2,0,4,2,1,6,0,7,6,2,10,4,7,2,8,6,2,5,4,6,5,7,8,3,4,5,7,4,0,5,3,6,8,6,5,7,12,7,7,15,4,5,9,4,3,8,2,2,3,8,4,2,5,3,7,2,1,5,3,8,8,9,8,10,5,3,4,3,0,2,3,4,4,5,6,6,3,0,4,3,2,2,0,1,1,0,1,0,0,0,1,0
257,六十人町,3,0,1,2,2,0,3,1,0,1,0,1,2,0,0,3,1,1,1,2,5,0,6,5,5,5,5,5,6,4,7,4,2,2,2,0,3,4,3,3,7,6,0,2,5,1,3,4,3,7,3,1,3,5,2,5,3,0,5,1,2,2,2,3,3,2,6,2,4,0,4,2,3,2,1,1,2,3,2,2,2,1,1,0,1,0,1,2,3,1,0,3,2,1,0,0,1,0,1,0,0
261,六丁目,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,六丁の目北町,1,3,5,2,4,2,3,3,1,0,3,4,2,5,0,1,3,4,3,6,7,6,5,7,10,1,6,6,5,2,9,6,3,4,5,6,5,6,5,5,5,3,5,5,7,11,5,3,6,6,6,4,2,2,6,6,3,3,5,4,1,6,2,3,2,5,5,6,3,2,1,6,6,6,5,0,4,1,4,0,4,1,4,0,3,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,1
263,六丁の目中町,14,17,15,8,7,6,10,8,11,7,7,4,14,9,6,7,10,6,11,6,14,16,13,15,14,16,15,20,17,20,19,21,24,22,26,15,17,18,17,11,12,16,14,16,22,21,13,20,22,14,21,11,16,16,23,14,11,6,7,11,9,8,3,6,9,9,10,8,8,13,10,6,11,7,3,8,3,5,6,5,8,5,5,3,5,3,2,3,6,3,2,0,1,0,1,1,1,1,0,0,0
264,六丁の目西町,4,7,3,7,4,3,5,1,1,3,3,4,1,2,2,0,1,2,2,3,2,4,4,2,1,2,5,4,4,6,4,3,8,7,6,7,7,7,4,4,4,3,4,5,5,2,4,10,5,7,2,4,2,3,3,4,1,1,2,4,3,2,2,2,0,3,3,5,0,5,1,2,7,0,4,3,2,3,5,2,2,1,1,2,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
265,六丁の目東町,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,0,2,3,0,1,0,1,0,1,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
266,六丁の目南町,6,14,7,7,10,1,4,6,2,4,6,6,6,3,3,3,7,9,5,3,3,5,9,5,14,14,4,11,18,11,13,7,10,17,18,10,11,20,10,9,16,5,10,12,12,8,12,9,6,19,17,9,10,8,13,12,9,4,5,4,3,4,5,3,3,4,4,7,4,5,4,4,8,1,1,2,4,0,3,3,4,1,2,4,0,3,4,1,2,0,1,0,2,0,1,0,0,0,0,0,0
267,六丁の目元町,3,0,0,0,1,2,1,2,0,0,1,3,1,2,1,2,2,0,1,0,2,3,0,2,1,3,4,0,2,3,3,2,1,2,1,3,1,0,1,3,5,4,5,1,3,4,8,1,2,2,1,1,1,4,0,1,5,0,0,1,1,0,1,2,1,1,1,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
268,若林１丁目,5,7,9,6,15,8,9,6,10,7,4,8,9,9,4,9,4,7,5,9,8,6,17,18,13,24,17,30,12,16,19,10,12,15,17,20,17,12,11,16,14,15,8,14,18,11,13,10,13,11,16,16,17,11,9,10,12,12,12,13,8,11,14,15,14,15,9,17,14,13,10,16,14,7,7,6,10,7,12,7,11,6,4,10,11,8,3,8,2,4,12,0,1,2,0,3,0,2,1,1,0
269,若林２丁目,4,3,3,8,7,6,6,4,3,1,0,3,3,5,1,7,1,1,6,7,9,3,3,3,5,4,2,7,8,8,6,5,8,3,7,8,13,5,7,7,3,13,1,8,9,7,11,7,9,5,7,6,6,8,9,9,5,3,9,6,7,6,6,15,5,9,8,7,9,7,6,6,8,8,4,8,12,7,9,8,6,10,6,7,4,8,5,7,5,4,5,1,3,2,0,1,1,1,0,0,1
270,若林３丁目,2,19,3,7,8,7,9,6,7,6,8,17,4,7,4,8,5,12,7,8,14,7,11,7,7,8,11,6,8,3,11,11,18,19,21,8,7,18,16,10,14,12,12,15,20,13,19,20,20,18,13,10,14,11,18,12,11,14,13,15,11,15,20,13,20,17,20,19,26,16,12,22,15,10,10,14,14,10,13,17,12,10,19,22,5,7,8,10,9,9,11,3,7,4,2,1,2,0,2,0,2
271,若林４丁目,0,5,2,4,4,6,4,3,2,5,3,3,2,3,3,3,4,3,3,5,4,6,2,4,4,5,4,4,4,7,4,7,7,6,6,6,7,6,4,6,4,6,6,8,9,8,14,8,4,4,6,4,8,3,2,7,3,9,6,4,5,8,4,3,8,6,7,11,8,14,5,7,11,3,3,5,5,2,6,3,5,4,2,3,6,5,3,2,1,6,2,1,0,1,0,0,0,0,0,0,0
272,若林５丁目,4,4,1,4,3,4,9,3,6,3,5,7,4,6,3,3,7,4,4,5,5,10,8,7,8,8,9,8,16,6,7,6,6,8,11,10,4,9,8,9,10,8,8,14,5,13,11,11,15,11,15,16,16,12,5,12,18,13,6,14,12,10,20,10,4,11,8,6,10,11,9,15,10,4,3,8,6,7,3,8,8,6,7,8,5,9,4,3,7,4,3,4,4,2,4,1,1,0,1,1,3
273,若林６丁目,3,4,2,2,2,2,3,1,1,0,2,0,3,1,2,1,0,2,1,1,1,3,4,4,3,3,5,2,5,6,1,5,0,5,3,4,4,7,4,3,1,5,6,6,6,7,5,2,3,7,1,7,3,7,3,5,5,6,8,3,4,2,7,1,4,7,2,2,5,7,10,8,4,4,6,1,5,5,1,1,2,3,6,3,0,2,2,5,2,1,3,1,1,1,0,1,1,0,0,0,0
274,若林７丁目,4,0,2,2,3,5,1,3,4,3,5,2,2,7,1,4,1,1,5,3,2,3,6,5,3,2,4,5,5,3,9,1,0,4,3,7,5,5,6,2,9,3,5,7,4,5,6,7,7,7,2,3,7,3,5,3,8,9,7,4,7,3,0,3,4,6,5,6,5,2,7,3,4,2,2,3,6,1,4,3,3,3,3,6,4,5,6,3,5,5,4,4,1,0,0,0,0,0,1,0,0
